File path,Line number,Line containing the searched text
"Shell_Script_Offline/input.txt","3","contribute"
"Shell_Script_Offline/out.csv","2",""working_dir.Awesome/no_no.txt","7","CONTRIBUTE""
"Shell_Script_Offline/out.csv","3",""working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt","7","CONTRIBUTE""
"Shell_Script_Offline/out.csv","4",""working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt","233","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content.""
"Shell_Script_Offline/out.csv","5",""working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt","289","CONTRIBUTE""
"Shell_Script_Offline/out.csv","6",""working_dir.Awesome.Oh! Boy!!/smart","6","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE""
"Shell_Script_Offline/out.csv","7",""working_dir.Awesome.Oh! Boy!!/smart","176","Check out this Author's contributed articles.""
"Shell_Script_Offline/out.csv","8",""working_dir.Awesome.Oh! Boy!!/smart","177","If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.""
"Shell_Script_Offline/out.csv","9",""working_dir.Awesome.Oh! Boy!!/smart","196","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content.""
"Shell_Script_Offline/out.csv","10",""working_dir.Awesome.Oh! Boy!!/smart","252","CONTRIBUTE""
"Shell_Script_Offline/out.csv","11",""working_dir/dd.txt","19","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE""
"Shell_Script_Offline/out.csv","12",""working_dir.Hello/My.txt","10","CONTRIBUTE""
"Shell_Script_Offline/out.csv","13",""working_dir.Hello.World/this.txt","15","CONTRIBUTE""
"Shell_Script_Offline/out.csv","14",""working_dir/less","1","CONTRIBUTE""
"Shell_Script_Offline/out.csv","15",""working_dir/Practice.cpp","13","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE""
"Shell_Script_Offline/out.csv","16",""working_dir/Practice.cpp","53","	// contribute""
"Shell_Script_Offline/output.csv","2","working_dir/Practice.cpp,13,Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline/output.csv","3","working_dir/Awesome/Oh! Boy!!/Fine/Serum.txt,7,CONTRIBUTE"
"Shell_Script_Offline.output_dir/working_dir.Awesome.no_no_7.txt","7","CONTRIBUTE"
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.Fine.Serum_7.txt","7","CONTRIBUTE"
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.Fine.Serum_7.txt","233","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.Fine.Serum_7.txt","289","CONTRIBUTE"
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.smart_6","6","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.smart_6","176","Check out this Author's contributed articles."
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.smart_6","177","If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks."
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.smart_6","196","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.output_dir/working_dir.Awesome.Oh! Boy!!.smart_6","252","CONTRIBUTE"
"Shell_Script_Offline.output_dir/working_dir.Practice_13.cpp","13","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline.output_dir/working_dir.Practice_13.cpp","53","	// contribute"
"Shell_Script_Offline.target_dir/working_dir.Awesome.no_no7.txt","7","CONTRIBUTE"
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.Fine.Serum7.txt","7","CONTRIBUTE"
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.Fine.Serum7.txt","233","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.Fine.Serum7.txt","289","CONTRIBUTE"
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.smart6","6","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.smart6","176","Check out this Author's contributed articles."
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.smart6","177","If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks."
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.smart6","196","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.target_dir/working_dir.Awesome.Oh! Boy!!.smart6","252","CONTRIBUTE"
"Shell_Script_Offline.target_dir/working_dir.Practice13.cpp","13","Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"Shell_Script_Offline.target_dir/working_dir.Practice13.cpp","53","	// contribute"
"Shell_Script_Offline.working_dir.Awesome/cool.txt","293","This list goes on, there are various areas where software developers are happily using C++ to provide great softwares. I highly recommend you to learn C++ and contribute great softwares to the community."
"Shell_Script_Offline.working_dir.Awesome/hot.txt","176","Check out this Author's contributed articles."
"Shell_Script_Offline.working_dir.Awesome/hot.txt","177","If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks."
"Shell_Script_Offline.working_dir.Awesome/hot.txt","196","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Awesome/hot.txt","252","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Awesome/hot.txt","536","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Awesome/hot.txt","592","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Awesome/lab.txt","176","Check out this Author's contributed articles."
"Shell_Script_Offline.working_dir.Awesome/lab.txt","177","If you like GeeksforGeeks and would like to contribute, you can also write an article using contribute.geeksforgeeks.org or mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks."
"Shell_Script_Offline.working_dir.Awesome/lab.txt","196","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Awesome/lab.txt","252","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Awesome/no_no.txt","7","CONTRIBUTE"
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!.Fine/Josh.txt","239","Please write to us at contribute@geeksforgeeks.org to report any issue with the above content."
"Shell_Script_Offline.working_dir.Awesome.Oh! Boy!!.Fine/Josh.txt","295","CONTRIBUTE"
